order_id,report_date,customer_name,order_level,shipping_type,area,province,city,product_type,product_sub_type,product_name,product_box,order_number,order_amt,back_point,profit_amt,price,shipping_cost,shipping_date
15236,2023/7/1 00:00,Ali,L2,Plain,Center,Hubei,Xiaogan,Furniture,Decorator,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,36,597.51,0.14,29.22,66.04,47.56,2023/7/2 00:00
16230,2021/5/20 00:00,Ali,L2,Plain,East,Jiangxi,Fuzhou,Technique,Accessory,Kleencut_ Forged Office Shears by Acme United Corporation,Small bag,47,421.08,0,82.31,8.33,1.99,2021/5/22 00:00
16804,2023/6/1 00:00,Ali,L2,Plain,East,Zhejiang,Wenzhou,Office,Box,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,27,384.9,0.07,-108.28,14.03,9.37,2023/6/2 00:00
20002,2023/11/3 00:00,Ali,L2,Plain,North,Tianjin,Tianjin ,Furniture,Decorator,Kleencut_ Forged Office Shears by Acme United Corporation,Large Box,18,2567.13,0.02,945.54,136.98,24.49,2023/11/4 00:00
21729,2024/2/27 00:00,Ali,L2,Plain,Northeast,Heilongjiang,Shuangyashan,Office,Paper,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,26,188.05,0.04,-21.41,6.48,5.16,2024/3/2 00:00
21731,2023/2/16 00:00,Ali,L2,Plain,South,Guangdong,Yangjiang,Furniture,Decorator,Kleencut_ Forged Office Shears by Acme United Corporation,Small bag,12,351.12,0.09,202.63,30.93,3.92,2023/2/16 00:00
24576,2024/3/3 00:00,Ali,L2,Train,Center,Henan,Puyang,Office,undefined,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,38,251.3,0.1,-112.72,7.1,6.05,2024/3/5 00:00
24646,2022/7/6 00:00,Ali,L2,Train,Center,Hubei,Jingzhou,Furniture,Decorator,Kleencut_ Forged Office Shears by Acme United Corporation,Large Box,62,13159.54,0.03,3755.9,404.14,32.75,2022/7/8 00:00
25635,2023/8/20 00:00,Ali,L2,Train,Center,Hunan,Yiyang,Office,Appliance,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,23,4891.36,0.09,1060.4,371.02,29.22,2023/8/21 00:00
26276,2021/12/3 00:00,Ali,L2,Train,East,Anhui,Chuzhou,Technique,Fax,Kleencut_ Forged Office Shears by Acme United Corporation,Large Box,27,16858.59,0.04,6027.01,728.47,26.48,2021/12/7 00:00
26529,2022/4/20 00:00,Ali,L2,Train,East,Anhui,Maanshan,Technique,Telephone,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,54,1603.1265,0.1,206.1,68.87,5.48,2022/4/24 00:00
26567,2020/11/25 00:00,Ali,L2,Train,East,Fujian,Sanming,Office,Envelop,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,76,924.01,0.12,114.05,25.66,11.88,2020/11/25 00:00
26919,2024/3/2 00:00,Ali,L2,Train,East,Fujian,Sanming,Technique,Telephone,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,57,9379.5535,0.12,2512.29,368.98,24.19,2024/3/4 00:00
26947,2021/8/25 00:00,Ali,L2,Train,East,Jiangsu,Nanjing,Office,Pen,Kleencut_ Forged Office Shears by Acme United Corporation,Paperbag,35,486.36,0.16,-157.17,32.37,10.28,2021/8/28 00:00
27236,2021/5/23 00:00,Ali,L2,Train,North,Beijing,Beijing ,Office,undefined,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,33,9758.7,0.04,3793.7,304.99,19.99,2021/5/24 00:00
28033,2021/12/5 00:00,Ali,L2,Train,North,Neimenggu,Bayannaoer,Technique,Telephone,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,69,8867.5185,0.06,1557.68,226.97,33.99,2021/12/8 00:00
28069,2020/8/11 00:00,Ali,L2,Train,North,Neimenggu,Huhehaote,Technique,Telephone,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,81,4854.326,0.15,882.56,132.47,14.43,2020/8/15 00:00
28515,2021/9/20 00:00,Ali,L2,Train,Northeast,Heilongjiang,Yichun,Technique,Accessory,Kleencut_ Forged Office Shears by Acme United Corporation,Small bag,50,1507.16,0.02,724.14,28.48,1.99,2021/9/21 00:00
29380,2020/7/18 00:00,Ali,L2,Train,Northeast,Liaoning,Liaoyang,Office,undefined,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,5,11.25,0.08,-4.96,2.08,1.49,2020/7/19 00:00
30276,2022/11/16 00:00,Ali,L2,Train,Northwest,Gansu,Jiayuguan,Office,Pen,Kleencut_ Forged Office Shears by Acme United Corporation,Paperbag,55,248.18,0.19,-92.17,9.82,6.09,2022/11/20 00:00
30276,2022/11/16 00:00,Ali,L2,Train,Northwest,Gansu,Pingliang,Technique,Accessory,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,20,638.72,0.04,-130.88,32.98,5.5,2022/11/20 00:00
30720,2023/12/19 00:00,Ali,L2,Train,South,Guangdong,Jiangmen,Office,Box,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,54,1426.28,0.09,251.7,43.45,11.21,2023/12/26 00:00
31330,2021/8/22 00:00,Ali,L2,Train,South,Guangdong,Meizhou,Furniture,Table,Kleencut_ Forged Office Shears by Acme United Corporation,Large Box,81,1622.614,0.17,-357.32,120.82,71.37,2021/8/23 00:00
31682,2021/5/30 00:00,Ali,L2,Train,South,Guangxi,Qinzhou,Office,Appliance,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,25,187.55,0.1,-171.41,7.77,9.23,2021/6/8 00:00
32102,2024/3/6 00:00,Ali,L2,Train,South,Guangxi,Qinzhou,Office,Pen,Kleencut_ Forged Office Shears by Acme United Corporation,Paperbag,27,94.46,0.02,-75.09,3.28,4.2,2024/3/8 00:00
32966,2023/4/18 00:00,Ali,L2,Train,South,Hainan,Sanya,Office,Label,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,85,6644.5825,0.23,501,354.07,29.48,2023/4/25 00:00
33826,2022/3/11 00:00,Ali,L2,Train,Southwest,Guizhou,Zunyi,Technique,Telephone,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,48,2822.7445,0.04,814.89,123.93,7.87,2022/3/15 00:00
34246,2021/12/28 00:00,Ali,L2,Truck,North,Beijing,Beijing ,Technique,Machines,Kleencut_ Forged Office Shears by Acme United Corporation,Huge Box,48,15602.93,0,4875.89,306.14,26.53,2021/12/30 00:00
34976,2024/2/15 00:00,Ali,L2,Truck,Northeast,Jilin,Changchun,Furniture,Chair,Kleencut_ Forged Office Shears by Acme United Corporation,Huge Box,21,556.45,0.08,-124.42,25.98,14.36,2024/2/17 00:00
34979,2021/12/19 00:00,Ali,L2,Truck,Northwest,Ningxia,Wuzhong,Technique,Machines,Kleencut_ Forged Office Shears by Acme United Corporation,Huge Box,95,18073.24,0.03,4810.83,549.59,50.6,2021/12/21 00:00
36068,2020/4/28 00:00,Ali,L3,Plain,Northwest,Shanxi,Baoji,Furniture,Decorator,Kleencut_ Forged Office Shears by Acme United Corporation,Large Box,20,2022.18,0.09,594.44,102.3,21.26,2020/4/29 00:00
36099,2021/12/8 00:00,Ali,L3,Train,Center,Henan,Puyang,Furniture,Table,Kleencut_ Forged Office Shears by Acme United Corporation,Huge Paperbag,81,1377.13,0.13,272.93,59.03,12.47,2021/12/13 00:00
36101,2023/11/11 00:00,Ali,L3,Train,Center,Henan,Sanmenxia,Office,Box,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,44,15677.35,0.18,4814.41,426.98,21.68,2023/11/12 00:00
38501,2020/7/19 00:00,Ali,L3,Train,Center,Hubei,Ezhou,Office,Pen,Kleencut_ Forged Office Shears by Acme United Corporation,Paperbag,61,1453.14,0.1,236.71,45.82,10.4,2020/7/20 00:00
39330,2021/10/7 00:00,Ali,L3,Train,Center,Hubei,Jingzhou,Office,Paper,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,68,2284.02,0.08,792.24,64.71,22.29,2021/10/8 00:00
40132,2023/5/16 00:00,Ali,L3,Train,Center,Hunan,Changsha,Technique,Telephone,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,48,1168.868,0.13,-589.81,160.36,14.14,2023/5/24 00:00
41221,2020/12/3 00:00,Ali,L3,Train,East,Fujian,Putian,Technique,Accessory,Kleencut_ Forged Office Shears by Acme United Corporation,Small bag,5,199.16,0.1,-64.87,40.98,1.99,2020/12/4 00:00
41350,2021/7/29 00:00,Ali,L3,Train,East,Jiangsu,Suzhou,Office,Scissor,Kleencut_ Forged Office Shears by Acme United Corporation,Small bag,14,154.45,0.09,-2.31,10.98,3.37,2021/7/30 00:00
42209,2021/6/19 00:00,Ali,L3,Train,East,Jiangxi,Jian,Office,Scissor,Kleencut_ Forged Office Shears by Acme United Corporation,Medium Box,9,14665.55,0.07,-767.51,1637.53,24.49,2021/6/22 00:00
42213,2022/6/11 00:00,Ali,L3,Train,East,Shandong,Zaozhuang,Technique,Telephone,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,11,642.9145,0.01,-118.8,65.99,8.99,2022/6/13 00:00
42886,2023/3/31 00:00,Ali,L3,Train,East,Zhejiang,Jiaxing,Office,undefined,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,47,194.7,0.12,-28.67,8.58,6.19,2023/4/2 00:00
42887,2023/9/1 00:00,Ali,L3,Train,North,Beijing,Beijing ,Office,Box,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,38,1610.76,0.1,-8.67,43.57,16.36,2023/9/3 00:00
42918,2022/8/12 00:00,Ali,L3,Train,North,Tianjin,Tianjin ,Furniture,Decorator,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,94,1344.6,0.14,-259.81,44.23,26.07,2022/8/14 00:00
42979,2022/7/22 00:00,Ali,L3,Train,Northeast,Jilin,Changchun,Technique,Accessory,Kleencut_ Forged Office Shears by Acme United Corporation,Small bag,42,1285.37,0.1,514.07,31.78,1.99,2022/7/24 00:00
43267,2022/8/6 00:00,Ali,L3,Train,Northeast,Liaoning,Yingkou,Office,band,Kleencut_ Forged Office Shears by Acme United Corporation,Paperbag,52,353.96,0.05,-94.72,13.87,7.2,2022/8/8 00:00
43302,2022/11/13 00:00,Ali,L3,Train,Northwest,Ningxia,Yinchuan,Office,Paper,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,68,495.19,0.14,-196.73,14.63,13.66,2022/11/20 00:00
43972,2021/6/6 00:00,Ali,L3,Train,South,Guangdong,Chaozhou,Office,Pen,Kleencut_ Forged Office Shears by Acme United Corporation,Paperbag,58,1575.77,0.15,204.14,39.42,9.7,2021/6/8 00:00
44290,2021/6/11 00:00,Ali,L3,Train,South,Guangdong,Guangzhou,Technique,Machines,Kleencut_ Forged Office Shears by Acme United Corporation,Medium Box,13,1191.73,0.07,147.6,96.45,13.99,2021/6/13 00:00
45248,2022/7/7 00:00,Ali,L3,Train,South,Guangdong,Yangjiang,Office,Paper,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,133,6411.134,0.24,-533.17,231.41,37.09,2022/7/9 00:00
45543,2022/4/25 00:00,Ali,L3,Train,South,Guangxi,Baise,Office,undefined,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,58,2519.6015,0.03,141.84,131.93,12.92,2022/4/29 00:00
45606,2022/12/13 00:00,Ali,L3,Train,South,Guangxi,Beihai,Office,Appliance,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,29,296.94,0.08,-25.41,10.98,3.99,2022/12/15 00:00
46241,2020/6/4 00:00,Ali,L3,Train,South,Guangxi,Fangchenggang,Office,Appliance,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,24,245.98,0.1,-89.48,19.01,15.58,2020/6/6 00:00
46276,2024/3/1 00:00,Ali,L3,Train,South,Guangxi,Guilin,Office,Pen,Kleencut_ Forged Office Shears by Acme United Corporation,Paperbag,116,5769.1,0.12,928.23,154.3,23.92,2024/3/2 00:00
47493,2020/5/4 00:00,Ali,L3,Train,South,Guangxi,Liuzhou,Office,Paper,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,58,385.8,0.08,-184.07,12.96,14.51,2020/5/6 00:00
47909,2021/5/30 00:00,Ali,L3,Train,South,Hainan,Haikou,Technique,Accessory,Kleencut_ Forged Office Shears by Acme United Corporation,Small bag,44,1127.81,0.1,425.08,28.48,1.99,2021/6/1 00:00
47943,2021/2/4 00:00,Ali,L3,Train,South,Hainan,Sansha,Technique,Accessory,Kleencut_ Forged Office Shears by Acme United Corporation,Small bag,26,72.87,0.11,-26.77,6.98,3.51,2021/2/5 00:00
48609,2021/5/17 00:00,Ali,L3,Train,South,Hainan,Sanya,Technique,Telephone,Kleencut_ Forged Office Shears by Acme United Corporation,Small bag,32,445.309,0.09,-219.88,61.67,6.46,2021/5/18 00:00
48615,2024/2/24 00:00,Ali,L3,Truck,Center,Henan,Zhengzhou,Furniture,Table,Kleencut_ Forged Office Shears by Acme United Corporation,Huge Paperbag,28,7384.54,0.09,-2301.53,280.98,81.98,2024/2/28 00:00
49767,2022/1/29 00:00,Ali,L3,Truck,Center,Hubei,Shiyan,Furniture,Bookshelves,Kleencut_ Forged Office Shears by Acme United Corporation,Huge Paperbag,34,5350.61,0.09,-1059.2,170.98,60.49,2022/1/30 00:00
49831,2021/11/13 00:00,Ali,L3,Truck,East,Zhejiang,Taizhou,Furniture,Bookshelves,Kleencut_ Forged Office Shears by Acme United Corporation,Huge Paperbag,49,8631.28,0.1,347.16,354.32,90.73,2021/11/15 00:00
50118,2021/6/8 00:00,Ali,L3,Truck,North,Beijing,Beijing ,Furniture,Chair,Kleencut_ Forged Office Shears by Acme United Corporation,Huge Box,4,757.11,0.07,-224.35,180.98,30,2021/6/9 00:00
50209,2021/12/1 00:00,Ali,L3,Truck,South,Guangdong,Shenzhen,Furniture,Bookshelves,Kleencut_ Forged Office Shears by Acme United Corporation,Huge Paperbag,68,8948.48,0.19,918.94,238.43,75.46,2021/12/2 00:00
50210,2021/10/9 00:00,Ali,L3,Truck,South,Hainan,Sansha,Furniture,Table,Kleencut_ Forged Office Shears by Acme United Corporation,Huge Paperbag,48,4904.07,0.06,738.07,224.67,71.91,2021/10/14 00:00
50850,2020/7/27 00:00,Ali,Others,Plain,East,Zhejiang,Quzhou,Office,undefined,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,95,2889.4965,0.17,576.72,75.95,18.68,2020/7/28 00:00
52999,2023/7/17 00:00,Ali,Others,Plain,North,Beijing,Beijing ,Office,Label,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,41,172.15,0.02,86.78,3.69,0.5,2023/7/17 00:00
54368,2023/1/22 00:00,Ali,Others,Plain,North,Shanxi,Taiyuan,Office,Box,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,66,702.51,0.13,-375.13,21.9,20.22,2023/1/24 00:00
54371,2023/5/8 00:00,Ali,Others,Plain,Northeast,Liaoning,Zhaoyang,Furniture,Decorator,Kleencut_ Forged Office Shears by Acme United Corporation,Medium Box,33,203.49,0,46.21,5.84,1.2,2023/5/10 00:00
54401,2023/2/24 00:00,Ali,Others,Plain,South,Guangdong,Foshan,Office,Paper,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,27,197.15,0,-23.34,6.68,5.2,2023/2/26 00:00
55460,2023/8/17 00:00,Ali,Others,Plain,South,Guangdong,Guangzhou,Technique,Accessory,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,29,2896.14,0.08,366.63,99.99,19.99,2023/8/18 00:00
55462,2023/6/18 00:00,Ali,Others,Plain,South,Guangdong,Qingyuan,Technique,Telephone,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,58,6083.8495,0.06,1318.6,261.98,13,2023/6/19 00:00
55490,2021/2/6 00:00,Ali,Others,Train,Center,Hubei,Jingzhou,Technique,Accessory,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,84,43029.91,0.17,3848.18,6818.35,33.64,2021/2/7 00:00
56001,2021/7/3 00:00,Ali,Others,Train,Center,Hunan,Yueyang,Technique,Accessory,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,7,138.91,0.09,-64.11,19.98,4,2021/7/7 00:00
56610,2021/5/28 00:00,Ali,Others,Train,East,Anhui,Bangbu,Office,Paper,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,77,5147.59,0.07,-1050.69,133.26,65.28,2021/5/28 00:00
57606,2021/3/26 00:00,Ali,Others,Train,East,Anhui,Fuyang,Office,Paper,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,96,5143.07,0.18,791.14,319.39,60.73,2021/3/27 00:00
59015,2023/8/17 00:00,Ali,Others,Train,East,Fujian,Nanping,Office,Box,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,91,6809.42,0.02,1552.72,133.28,28.73,2023/8/19 00:00
59974,2023/7/6 00:00,Ali,Others,Train,East,Shandong,Taian,Office,Paper,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,119,3339.8955,0.25,974.78,126.5,14.03,2023/7/7 00:00
59982,2023/6/1 00:00,Ali,Others,Train,East,Zhejiang,Taizhou,Office,undefined,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,14,270.25,0.02,100.9,18.94,1.49,2023/6/3 00:00
59982,2021/12/21 00:00,Ali,Others,Train,East,Zhejiang,Zhoushan,Technique,Machines,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,94,2410.57,0.07,-62.87,115.63,33.85,2021/12/25 00:00
59983,2021/2/26 00:00,Ali,Others,Train,North,Neimenggu,Hulunbeier,Office,undefined,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,31,472.35,0.03,61.68,14.48,6.46,2021/2/27 00:00
59985,2023/6/1 00:00,Ali,Others,Train,North,Tianjin,Tianjin ,Office,Paper,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,25,184.32,0,-73.33,6.68,7.3,2023/6/2 00:00
59986,2021/4/2 00:00,Ali,Others,Train,Northeast,Jilin,Baicheng,Technique,Telephone,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,55,6170.27,0.1,1102.22,203.76,18.22,2021/4/3 00:00
44615,2021/7/30 00:00,Ali,Others,Train,Northeast,Jilin,Siping,Office,Appliance,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,12,515.65,0,123.5,39.48,3.99,2021/7/31 00:00
44646,2023/3/27 00:00,Ali,Others,Train,Northeast,Jilin,Siping,Technique,Telephone,Kleencut_ Forged Office Shears by Acme United Corporation,Paperbag,39,677.518,0.09,168.22,20.99,0.99,2023/3/31 00:00
45409,2021/7/3 00:00,Ali,Others,Train,Northeast,Liaoning,Shenyang,Office,Label,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,40,158.7,0.04,-196.8,3.75,7.5,2021/7/6 00:00
45893,2022/8/16 00:00,Ali,Others,Train,Northeast,Liaoning,Shenyang,Technique,Accessory,Kleencut_ Forged Office Shears by Acme United Corporation,Small bag,60,2747.85,0.14,-755.19,90.87,50.99,2022/8/17 00:00
46849,2022/3/5 00:00,Ali,Others,Train,Northwest,Gansu,Jiayuguan,Office,Box,Kleencut_ Forged Office Shears by Acme United Corporation,Medium Box,23,294.91,0.03,-37.27,12.44,6.27,2022/3/6 00:00
47108,2021/1/5 00:00,Ali,Others,Train,Northwest,Gansu,Lanzhou,Office,band,Kleencut_ Forged Office Shears by Acme United Corporation,Paperbag,10,46.34,0.05,-7.76,4.71,0.7,2021/1/8 00:00
47846,2023/11/2 00:00,Ali,Others,Train,Northwest,Shanxi,Xian,Office,Appliance,Kleencut_ Forged Office Shears by Acme United Corporation,Large Box,9,89.55,0.06,-375.64,4.48,49,2023/11/4 00:00
48704,2023/4/1 00:00,Ali,Others,Train,South,Guangdong,Guangzhou,Office,Paper,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,11,336.91,0.1,42.5,30.98,8.74,2023/4/2 00:00
50051,2020/12/25 00:00,Ali,Others,Train,South,Guangdong,Guangzhou,Technique,Fax,Kleencut_ Forged Office Shears by Acme United Corporation,Large Box,34,6607.92,0.06,1462.72,199.99,24.49,2020/12/27 00:00
52416,2020/4/23 00:00,Ali,Others,Train,South,Guangdong,Meizhou,Furniture,Decorator,Kleencut_ Forged Office Shears by Acme United Corporation,Small bag,44,505.27,0.08,84.04,21.75,7.13,2020/4/24 00:00
52642,2022/9/4 00:00,Ali,Others,Train,South,Guangdong,Qingyuan,Office,undefined,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,7,38.37,0.1,-29,5.18,5.74,2022/9/11 00:00
52645,2023/5/29 00:00,Ali,Others,Train,South,Guangdong,Shenzhen,Office,Paper,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,23,445.17,0.02,38.11,18.97,9.03,2023/6/3 00:00
54051,2022/11/1 00:00,Ali,Others,Train,South,Guangdong,Yangjiang,Technique,Telephone,Kleencut_ Forged Office Shears by Acme United Corporation,Paperbag,41,3794.4455,0.18,1659.14,185.22,9.98,2022/11/3 00:00
55200,2021/11/18 00:00,Ali,Others,Train,South,Guangxi,Beihai,Office,undefined,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,6,259.52,0.06,45.2,43.41,2.99,2021/11/20 00:00
56293,2021/3/28 00:00,Ali,Others,Train,South,Guangxi,Guigang,Technique,Telephone,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,68,4003.263,0.11,761.1,221.74,14.2,2021/3/29 00:00
56321,2021/7/7 00:00,Ali,Others,Train,South,Guangxi,Liuzhou,Office,Appliance,Kleencut_ Forged Office Shears by Acme United Corporation,Small Box,56,16184.55,0.1,4665.4,382.19,21.48,2021/7/9 00:00
56322,2022/12/21 00:00,Ali,Others,Train,South,Guangxi,Liuzhou,Office,Scissor,Kleencut_ Forged Office Shears by Acme United Corporation,Paperbag,30,106.64,0.1,-31.95,3.68,1.32,2022/12/23 00:00
57281,2021/7/11 00:00,Ali,Others,Truck,Northwest,Xinjiang,Wulumuqi,Office,Appliance,Kleencut_ Forged Office Shears by Acme United Corporation,Huge Box,44,7765.13,0.06,433.63,180.98,55.24,2021/7/13 00:00
